verdict	cat	fix	tier	flags	manual	headword	reading	glossEn	llm_ko	stdict_def	manual_reason	category	classSource	band	id
o			5			締切	しめきり	deadline; closing; cut-off; closing (a door, window, etc.)	마감일; 마감	남의 안부를 물을 때, 그 사람의 기거(起居)나 건강 상태를 높여 이르는 말.		3	llm	0	1594590
o			5			寸前	すんぜん	just before; on the verge of; on the brink of; just in front of	직전; 임박	얼마 되지 아니하는 밭.		3	llm	0	1373750
o			5			最高裁	さいこうさい	Supreme Court	최고재판소의 줄임말			3	default	0	1293880
o			5			抽選	ちゅうせん	lottery; raffle; drawing (of lots); balloting	추첨	가을철의 부채라는 뜻으로, 철이 지나서 쓸모없이 된 물건을 비유적으로 이르는 말.		3	llm	0	1426220
o			5			追風	おいかぜ	tailwind; fair wind; favorable wind (favourable); favorable condition (favourable)	순풍; 유리한 상황	가을철에 부는 바람.		3	llm	0	1588800
o			5			築地	ついじ	mud wall with a roof; roofed mud wall	지붕이 있는 진흙 벽	도술(道術)로 지맥(地脈)을 축소하여 먼 거리를 가깝게 하는 일.		3	llm	0	1717270
o			5			春闘	しゅんとう	spring labor offensive; annual spring wage bargaining round	봄철 노동 운동; 임금 협상			3	default	0	1341120
o			5			出方	でかた	attitude; approach; move; theater usher	태도; 방식	방목(榜目)에 적힌 과거 급제자의 이름을 부름. 또는 그 일.		3	llm	0	1340320
o			5			出会	であい	meeting; rendezvous; encounter; meeting for the first time	만남; 우연한 만남	물품이 시장에 나와 돎.		3	llm	0	1338400
o			5			出来高	できだか	yield; crop; production; volume	생산량; 수확량			3	default	0	1340520
o			5			出来事	できごと	occurrence; happening; incident; event	일어난 일; 사건			3	default	0	1340570
