verdict	tier	llm	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	llm_reason	id
?	1	2	n	0	反発	はんぱつ	opposition, rebellion, revolt, resistance	반발(1)	反撥	탄력이 있는 물체가 퉁겨져 일어남.	일본어의 'はんぱつ'은 한국어 표기 '반발'과 동일한 단어이며, 일본어에서는 '撥'자를 쓰지 않고 '發'자를 사용하여 표기를 달리한 경우로 뜻은 동일하다.	1480890
?	1	1	n	0	繁殖	はんしょく	breeding, propagation, reproduction, multiplication	번식(0)	繁殖/蕃息	붇고 늘어서 많이 퍼짐.	일본어의 '繁殖'과 한국어의 '번식'은 모두 생식을 의미하는 동일한 개념으로, 일본어 표기인 정자 (繁殖) 와 한국 표준국어대사전 표제어에 제시된 원어 한자 중 하나인 번식 (蕃息) 은 뜻이 같거나 매우 유사하여 같은 단어의 변형으로 볼 수 있다.	1481700
?	1	1	n	0	翻訳	ほんやく	translation, deciphering, decoding	번역(0)	飜譯/翻譯	어떤 언어로 된 글을 다른 언어의 글로 옮김.	일본어의 '翻訳'과 한국 사전의 '번역'은 모두 언어 간 번역을 뜻하는 동일한 개념이며, 표기 차이는 일본 신자체와 중국 정자 (飜譯) 의 차이로 인한 것뿐이다.	1523400
?	1	1	n	0	法廷	ほうてい	court (of law), courtroom	법정(1)	法廷/法庭	법원이 소송 절차에 따라 송사를 심리하고 판결하는 곳.	일본어의 '法廷'과 한국어의 '법정'은 모두 법원이라는 동일한 개념을 지칭하며, 한자 표기 차이 (新자체 vs 정자) 에 불과하므로 같은 단어입니다.	1517400
?	1	1	n	0	体内	たいない	interior of the body	체내(0)	體內	몸의 내부.	일본어의 '体内'과 한국어의 '체내'는 모두 '몸의 내부'라는 동일한 의미와 한자 어원을 공유하며, 한국 표준국어대사전에서 표기된 원어 한자가 일본어 표기와 일치하므로 같은 단어입니다.	1409640
?	1	1	n	0	砂漠	さばく	desert	사막(1)		‘사막하다’의 어근.	일본어의 '사막'과 한국어의 '사막'은 모두 무척 건조한 땅을 뜻하는 동일한 단어이며, 일본어 표기인 '砂漠'은 한국 표준국어대사전에서 원어 한자를 명시하지 않은 경우를 대비해 부수 단순화 등 자형 차이를 고려하여 같은 단어로 처리한 것뿐이다.	1593800
?	1	1	n	0	山岳	さんがく	mountain chain, mountains	산악(1)	山岳/山嶽	높고 험준하게 솟은 산들.	일본어의 '山岳'과 한국어의 '산악'은 모두 '높고 험준한 산들'이라는 동일한 의미를 지니며, 일본어 표기인 '岳'과 한국어 표기인 '嶽'은 한자 부수 단순화 (신자체↔정자) 차이로 인해 자형만 다른 같은 단어입니다.	1302780
?	1	1	n	0	上昇	じょうしょう	rising, ascending, climbing	상승(1)	上昇/上升	낮은 데서 위로 올라감.	일본어의 '上昇'과 한국어의 '상승'은 모두 한자 표기 차이 (신자체 vs 정자) 로 인해 자형만 다를 뿐 뜻과 음이 동일한 단어입니다.	1353450
?	1	1	n	0	相続税	そうぞくぜい	inheritance tax, death duty	상속-세(0)	相續稅	국세의 하나. 상속, 유증 및 사인 증여에 의하여 취득한 재산에 대하여 부가한다.	상속세라는 단어의 의미와 발음은 동일하며, 일본어의 신자체 (相續稅) 와 한국의 정자 (相續稅) 는 같은 한자를 사용한 단순한 자형 차이일 뿐이다.	1749210
?	1	1	n	0	所得税	しょとくぜい	income tax	소득-세(0)	所得稅	개인이 한 해 동안 벌어들인 돈에 대하여 액수별 기준에 따라 매기는 세금.	두 표기 모두 '소득세'라는 동일한 개념을 지칭하며 일본어 신자체와 중국어/한국어 정자의 한자 자형 차이로 인한 것뿐이다.	1343370
?	1	1	n	0	消費税	しょうひぜい	consumption tax (incl. sales tax, VAT, excise duty, etc.)	소비-세(0)	消費稅	재화의 소비 또는 화폐의 지출 사실을 포착하여 소비자에게 직접적, 간접적으로 과세하는 세금. 소비의 최종 단계에서 부과하는 주민세, 입장세, 자동차세 따위의 직접 소비세와 생산이나 유통의 단계에서 부과하여 그것을 소비자에게 전가하는 주세(酒稅), 부가 가치세, 관세 따위의 간접 소비세가 있다.	일본어의 'しょうひぜい'는 한국 표기인 '소비세'와 동일한 의미의 간접세를 지칭하며, 한자 표기 차이 (消費稅 vs 消費税) 는 일본 신자체 사용에 기인한 동일 단어의 형태적 변이일 뿐이다.	1350320
?	1	1	n	0	昇進	しょうしん	promotion, advancement, rising in rank	승진(1)	升進	직위의 등급이나 계급이 오름.	일본어의 신자체 '昇'과 한국의 정자 '升'은 같은 한자의 변형일 뿐이며, 두 표기 모두 '직급이 오르는' 동일한 의미를 지닌 동일 단어입니다.	1349780
?	1	1	n	0	室内	しつない	indoor, inside the room	실내(0)	室內	방이나 건물 따위의 안.	일본어의 '室内'과 한국어의 '실내'는 모두 '방 안'이라는 동일한 뜻으로, 일본어 신자체 표기와 한국 정자 표기 간의 자형 차이로 인해 표기가 다르게 보일 뿐 같은 단어입니다.	1320350
?	1	1	n	0	案内	あんない	guidance, leading (the way), showing around, information	안내(1)	案內	어떤 내용을 소개하여 알려 줌. 또는 그런 일.	일본어의 'あんない'는 한국 표준국어대사전의 '안내 (案內)'와 동일한 단어이며, 일본에서는 신자체로 쓰이는 '案内'가 정자인 '案內'를 대체한 형태일 뿐 뜻과 발음은 동일합니다.	1154860
?	1	1	n	0	域内	いきない	inside the area	역내(1)	域內	일정한 구역의 안.	일본어의 'いきない'은 한자 표기인 '域内'에서 읽은 음독으로, 한국 표준국어대사전의 '역내'와 동일한 단어이며 뜻도 일치합니다.	1160510
?	1	1	n	0	一回	いっかい	once, one time, one round, one game	일회(0)	一廻	일정한 순서나 경로를 한 번 돎. 또는 일정한 순서나 경로를 따라 한 번 돌림.	일본어의 '一回'와 한국어의 '일회'는 모두 한 번의 동작이나 순서를 의미하는 동일한 어원을 가지며, 일본어 표기인 '回'와 한국 표기인 '廻'는 같은 글자의 변형 (신자체 vs 정자) 에 불과하므로 뜻이 같습니다.	1161310
?	1	1	n	0	絶滅	ぜつめつ	extinction, extermination, eradication, stamping out	절멸(0)	絕滅	아주 없어짐. 또는 아주 없앰.	일본어의 '絶滅'과 한국어의 '절멸'은 모두 '완전히 사라지다/없애다'라는 동일한 의미와 한자 구성을 공유하며, 한국 표준국어대사전 표제어에 일본어 원어 한자가 그대로 반영되어 있어 같은 단어임을 나타냅니다.	1386990
?	1	1	n	0	店内	てんない	inside of a store (restaurant, café, etc.), store interior, on the premises	점내(0)	店內	가게 안.	일본어의 '店内 (てんない)'과 한국어의 '점내'는 모두 '가게 안'이라는 동일한 뜻과 한자 구성을 가지며, 한국 표준국어대사전 표제어에 일본어 원어 한자가 그대로 반영되어 있어 같은 단어입니다.	1440780
?	1	1	n	0	店舗	てんぽ	shop, store, establishment, restaurant	점포(0)	店鋪	물건을 늘어놓고 파는 곳.	일본어의 '店舗'과 한국어의 '점포'는 모두 '상점이 있는 곳'이라는 동일한 뜻으로, 일본 신자체와 한국 정자 간의 자형 차이로 인해 표기가 다를 뿐 같은 단어입니다.	1440800
?	1	1	n	0	制御	せいぎょ	control (of a machine, device, etc.), control (over an opponent, one's emotions, etc.), governing, management	제어(1)	制御/制馭	상대편을 억눌러서 제 마음대로 다룸.	일본어의 'せいぎょ'와 한국어의 '제거/제유'는 모두 중국 한자 '制御'에서 유래했으며, 한국 표준국어대사전이 표기된 '制馭'은 일본어 신자체 '制御'의 정자 형태에 해당하므로 같은 단어입니다.	1595970
?	1	1	n	0	宗教	しゅうきょう	religion, religious affiliation, belief, faith	종교(0)	宗敎	신이나 초자연적인 절대자 또는 힘에 대한 믿음을 통하여 인간 생활의 고뇌를 해결하고 삶의 궁극적인 의미를 추구하는 문화 체계. 그 대상·교리·행사의 차이에 따라 여러 가지가 있는데, 애니미즘·토테미즘·물신 숭배 따위의 초기적 신앙 형태를 비롯하여 샤머니즘이나 다신교·불교·기독교·이슬람교 따위의 세계 종교에 이르기까지 비제도적인 것과 제도적인 것이 있다.	일본어의 '宗教'와 한국 사전의 '宗敎'는 신자체와 정자 (부수 단순화) 차이로 같은 단어이며 뜻도 동일합니다.	1331400
?	1	1	n	0	助教授	じょきょうじゅ	assistant professor, associate professor	조-교수(0)	助敎授	대학교수 직위의 하나. 부교수의 아래이다.	두 표기 모두 '부교수'를 의미하는 동일한 단어이며, 일본어의 신자체 (敎) 와 한국의 정자 (敎) 는 같은 한자의 자형 차이일 뿐이다.	1344550
?	1	1	n	0	中南米	ちゅうなんべい	Central and South America	중-남미(0)	中南美	‘중미’와 ‘남미’를 아울러 이르는 말.	중남미라는 단어는 일본어의 'ちゅうなんべ이'와 한국어의 '중-남미'가 모두 동일한 지리적 개념을 가리키며, 표기 차이는 일본 신자체 (美) 와 중국/한국 정자 (美) 의 차이로 인한 것뿐이다.	1425170
?	1	1	n	0	中絶	ちゅうぜつ	abortion, discontinuance, stoppage, suspension	중절(1)		‘중절거리다’의 어근.	중절은 일본어 '中絶'과 동일한 한자표기를 사용하며 한국어와 일본어 모두에서 '중단하다/중지하다'라는 공통된 의미를 가집니다.	1424820
?	1	1	n	0	蒸気	じょうき	steam, vapour, vapor, steamboat	증기(1)	蒸氣/烝氣	기체 상태로 되어 있는 물.	일본어의 '蒸気'와 한국어의 '증기'는 모두 물이 기체 상태가 된 것을 의미하는 동일한 단어이며, 표기 차이는 일본 신자체 (氣) 와 중국 정자/한자 (氣) 의 자형 차이로 인한 것뿐입니다.	1356930
?	1	1	n	0	指揮	しき	command, direction, supervision, conducting (an orchestra, choir, etc.)	지휘(0)	指揮/指麾	목적을 효과적으로 이루기 위하여 단체의 행동을 통솔함.	일본어의 '指揮 (しき)'와 한국어의 '지휘'는 모두 '통솔하다'라는 동일한 의미와 한자 어원을 공유하며, 일본어 표기에서 생략된 부수 '麾'가 한국 표제어에 포함되어 있어 같은 단어의 변형 관계입니다.	1309700
?	1	1	n	0	車両	しゃりょう	(wheeled) vehicle, car, (railroad) car, (railway) carriage	차량(1)	車輛	도로나 선로 위를 달리는 모든 차를 통틀어 이르는 말.	차량과 차량은 일본어의 신자체 (車両) 와 한국의 정자 (車輛) 가 동일한 단어의 표기 차이일 뿐이며 뜻도 동일합니다.	1323250
?	1	1	n	0	車内	しゃない	inside a car (train, bus, etc.)	차내(0)	車內	열차, 자동차, 전차 따위의 안.	일본어의 '車内'와 한국 표준국어대사전의 '차내'는 모두 '차량 내부'라는 동일한 의미와 한자 구성을 가지며, 표기 차이는 일본 신자체와 중국 정자 (또는 한국 한자) 의 자형 차이로 인한 것뿐이다.	1323220
?	1	1	n	0	打率	だりつ	batting average	타률(1)	他律	→ 타율.	타율과 타률은 일본어 표기 '打率'의 한자 차이 (正字 vs 신자체/간체화 영향) 로 인해 자형만 다른 동일한 단어입니다.	1408980
?	1	1	n	0	台風	たいふう	typhoon, hurricane	태풍(0)	颱風	북태평양 서남부에서 발생하여 아시아 대륙 동부로 불어오는, 폭풍우를 수반한 맹렬한 열대 저기압. 풍속은 초속 17.2미터 이상으로 중심에서 수십 km 떨어진 곳이 가장 크며, 중심은 비교적 조용한 편이다. 보통 7~9월에 내습하여 종종 해난과 풍수해를 일으킨다.	일본어의 '台風'과 한국어의 '태풍'은 모두 태풍이라는 동일한 자연 현상을 가리키는 같은 단어이며, 일본에서는 신자체로 쓰이는 반면 한국에서는 정자 (颱風) 를 사용하므로 자형 차이만 존재한다.	1596780
?	1	1	n	0	特集	とくしゅう	feature (e.g. newspaper), special edition, report	특집(0)	特輯	신문, 잡지, 방송 따위에서 특정한 내용이나 대상에 중점을 두고 하는 편집. 또는 그런 편집물.	일본어의 '特集'과 한국어의 '특집'은 모두 '특정한 주제를 집중적으로 다루는 편집물'이라는 동일한 의미와 기능을 가지며, 일본어 신자체 (集) 와 한국 정자 (輯) 는 같은 글자의 변형 관계에 있어 본질적으로 같은 단어입니다.	1455060
?	1	1	n	0	編集者	へんしゅうしゃ	editor (in publishing, etc.)	편집-자(0)	編輯者	편집을 하는 사람.	일본어의 신자체 '編集者'와 한국의 정자 '編輯者'는 같은 단어의 한자 표기 차이일 뿐 뜻과 발음 (한국식 한자음) 이 동일하므로 같은 단어입니다.	1512010
?	1	1	n	0	閉鎖	へいさ	closing, closure, shutdown, lockout	폐쇄(0)	閉<span class="korean-webfont">&#x9396;</span>	문 따위를 닫아걸거나 막아 버림.	일본어의 '閉鎖'와 한국어의 '폐쇄'는 모두 '닫다/막다'라는 동일한 의미로 쓰이며, 일본어 표기인 '閉'와 한국 표제어에 포함된 원어 한자 '&#x9396;' (闢) 는 부수 단순화 과정에서 발생한 자형 차이일 뿐 실제 단어의 뜻과 발음은 동일합니다.	1508670
?	1	1	n	0	活発	かっぱつ	lively, active, vigorous, animated	활발(0)	活潑	‘활발하다’의 어근.	일본어의 'かっぱつ'은 한국 표준국어대사전의 표제어 '활발'과 동일한 단어이며, 일본에서는 신자체로 쓰이는 반면 한국에서는 정자 (活潑) 를 사용하는 한자 자형 차이일 뿐이다.	1208410
?	1	1	n	0	回復	かいふく	restoration, recovery, rehabilitation, return	회복(0)	回復/恢復	원래의 상태로 돌이키거나 원래의 상태를 되찾음.	일본어의 '回復'와 한국어의 '회복'은 모두 원래 상태로 되돌리거나 되찾는다는 동일한 의미로, 일본어 신자체와 한국 정자 간의 자형 차이일 뿐 같은 단어입니다.	1199720
?	1	1	n	0	訓練	くんれん	training, drill, practice, discipline	훈련(0)	訓鍊/訓練	기본자세나 동작 따위를 되풀이하여 익힘.	일본어의 '훈련'과 한국어의 '훈련'은 모두 '교육이나 기술을 익히는 행위'라는 동일한 의미와 한자 어원을 공유하며, 한국 표준국어대사전에서 제시한 원어 한자 '訓鍊'은 일본어 표기인 '訓練'과 부수 단순화 (신자체) 차이로 인해 자형만 다른 동일한 단어입니다.	1247470
?	1	1	n	0	亀裂	きれつ	crack, crevice, fissure, chap	귀렬(0)		→ 균열.	일본어의 '亀裂'과 한국어의 '귀렬'은 모두 균열을 뜻하는 동일한 개념으로, 일본어 신자체 (龜裂) 와 한국 정자 (龜裂) 의 자형 차이와 한자음 표기 방식만 다를 뿐 본질적으로 같은 단어입니다.	1224320
?	1	1	n	0	仏教	ぶっきょう	Buddhism	불교(0)	佛敎	기원전 6세기경 인도의 석가모니가 창시한 후 동양 여러 나라에 전파된 종교. 이 세상의 고통과 번뇌를 벗어나 그로부터 해탈하여 부처가 되는 것을 궁극적인 이상으로 삼는다. 교리에 따라 대승인 북방 불교와 소승인 남방 불교로 나누는데, 동양의 문화에 절대적인 영향을 끼쳤다.	일본어의 신자체 표기인 '仏教'과 한국 표준국어대사전의 정자 표기인 '佛敎'는 같은 단어이며 한자 자형 차이만 존재하고 뜻도 동일합니다.	1501930
?	1	1	n	0	併用	へいよう	combined use, using together (with), using jointly, using at the same time	병용(0)	竝用/倂用	아울러 같이 씀.	일본어의 'へいよう'은 한국 표준국어대사전의 '병용'과 동일한 의미로, 일본에서 쓰이는 한자 표기인 '竝用/倂用'은 한국 정자 '竝'와 부수 단순화 관계에 있는 동일어입니다.	1506200
?	1	1	n	0	内角	ないかく	interior angle, internal angle, inside corner	내각(1)	內角	한 직선이 두 직선과 각각 서로 다른 점에서 만날 때 두 직선의 안쪽에 생기는 각.	일본어의 '내각 (ないかく)'과 한국 표준국어대사전의 '내각'은 모두 두 직선이 만나는 점에서의 내부 각을 의미하는 동일한 수학 용어로, 한자 표기 차이만 있을 뿐 뜻이 같습니다.	1457900
?	1	1	n	0	内務	ないむ	internal or domestic affairs	내무(1)	內務	나라 안의 정무(政務).	일본어의 '내무'와 한국 사전의 '내무'는 모두 '나라 안의 정무'라는 동일한 의미와 한자 구성을 공유하며, 일본어 신자체 표기와 한국 표준 자형 간의 차이만 존재한다.	1459250
?	1	1	n	0	内野	ないや	infield, diamond	내야(0)	內野	야구장에서, 본루·일루·이루·삼루를 연결한 선의 구역 안.	일본어의 '내야'와 한국 사전의 '내야'는 모두 야구장의 내야를 뜻하는 동일한 단어이며, 일본어 표기인 '内野'와 한국 표기인 '內野'는 한자 자형 차이 (신자체 vs 정자) 에 불과합니다.	1459320
?	1	1	n	0	内野手	ないやしゅ	infielder, baseman	내야-수(0)	內野手	야구에서, 일루수·이루수·삼루수·유격수를 통틀어 이르는 말.	일본어의 '내야수'와 한국 사전의 '내야수'는 모두 야구 내야 포지션을 지칭하는 동일한 개념이며, 한자 표기 차이 (정자/신자체) 나 부수 단순화 정도를 제외하고 본질적으로 같은 단어입니다.	1459330
?	1	1	n	0	内外	ないがい	inside and outside, interior and exterior, inside and outside the country, home and abroad	내외(1)	內外	안과 밖을 아울러 이르는 말.	일본어의 '内外'와 한국어의 '내외'는 모두 안과 밖을 아우르는 동일한 개념을 나타내는 단어이며, 한자 표기 차이만 존재한다.	1582470
?	1	1	n	0	内定	ないてい	tentative decision, unofficial offer (esp. job offer), informal offer	내정(1)	內定	드러내지 않고 속으로 정함.	일본어의 '내정'과 한국어의 '내정'은 모두 '속으로 정하다'라는 동일한 어원을 공유하며, 일본어 표기인 'ないてい'는 한국 표준국어대사전에서 정의한 '드러내지 않고 속으로 정함'이라는 뜻과 정확히 일치하므로 같은 단어입니다.	1458920
?	1	1	n	0	内側	うちがわ	inside, interior, inner part	내측(1)	內側	안으로 향한 부분이나 안에 있는 부분.	일본어의 'うちがわ'는 한국 표준국어대사전의 '내측'과 동일한 의미 (안쪽 부분) 를 지닌 단어이며, 한자 표기 차이 ('內' vs '内') 만 존재한다.	1458770
?	1	1	n	0	国連	こくれん	United Nations, UN	국련(0)	國聯	‘국제 연합’을 줄여 이르는 말.	일본어의 'こくれん'은 중국식 한자음으로 읽는 '국련'을 표기할 때 일본 신자체인 '國聯'을 사용하며, 이는 한국 표준국어대사전의 '국련'과 동일한 단어에 해당한다.	1287210
?	1	1	n	0	国税庁	こくぜいちょう	National Tax Agency (Japan), national taxation agency (e.g. IRS)	국세-청(0)	國稅廳	중앙 행정 기관의 하나. 재정 경제부 장관 소속으로, 내국세의 부과·감면 및 징수에 관한 사무를 맡아본다.	일본어의 '国税庁'은 한국 표준국어대사전의 '국세청'과 동일한 기관을 지칭하며, 한자 표기 차이 (정자/신자체 및 부수 단순화) 에 불과하다.	1286770
?	1	1	n	0	戸籍	こせき	family register, census	호적(1)	戶籍	호주(戶主)를 중심으로 하여 그 집에 속하는 사람의 본적지, 성명, 생년월일 따위의 신분에 관한 사항을 기록한 공문서. 2008년 호적법 폐지에 따라 폐지되고, ‘가족 관계 등록부’가 이를 대체하게 되었다.	일본어의 '戸籍'과 한국어의 '호적'은 모두 가족 등록부를 의미하는 동일한 개념이며, 일본어 신자체와 한국 정자 간에 '戶'가 '戸'로 단순화된 자형 차이일 뿐이다.	1267030
?	1	1	n	0	拠出	きょしゅつ	donation, contribution	거출(0)	醵出	같은 목적을 위하여 여러 사람이 돈을 나누어 냄.	일본어의 '拠出'은 한국 표준국어대사전의 '거출 (醵出)'과 동일한 어원 (여러 사람이 돈을 모으는 것) 을 공유하며, 일본어 표기인 '拠'와 한국어 표기인 '醵'은 역사적으로 통용되던 한자 변이 관계로 실질적으로 같은 단어입니다.	1630110
?	1	1	n	0	教科書	きょうかしょ	textbook, coursebook, schoolbook	교과-서(0)	敎科書	학교에서 교과 과정에 따라 주된 교재로 사용하기 위하여 편찬한 책.	일본어의 신자체 '敎'와 한국의 정자 '敎'는 같은 글자이며 뜻과 발음도 동일하므로 표기 차이일 뿐 같은 단어입니다.	1237020
?	1	1	n	0	教室	きょうしつ	classroom, lecture room, department (in a university), class	교실(0)	敎室	유치원, 초등학교, 중·고등학교에서 학습 활동이 이루어지는 방.	일본어의 '教室'과 한국 사전의 '敎室'는 부수 단순화 (신자체↔정자) 로 인한 자형 차이일 뿐 의미와 발음은 동일한 단어입니다.	1237150
?	1	1	n	0	教育	きょういく	education, schooling, training, instruction	교육(0)	敎育	지식과 기술 따위를 가르치며 인격을 길러 줌.	일본어의 신자체 '敎育'과 한국의 정자 '敎育'은 같은 단어의 한자 표기 차이일 뿐 뜻이 동일하므로 verdict 1 입니다.	1236950
?	1	1	n	0	教育委員会	きょういくいいんかい	Board of Education	교육^위원회(0)	敎育委員會	국회 상임 위원회의 하나. 교육부 소관에 속하는 사항을 심의·감독한다.	일본어의 신자체 표기 '敎育委員會'와 한국 표준국어대사전의 정자 표기 '敎育委員會'는 동일한 단어이며, 한자 자형의 단순화 차이만 존재하고 뜻도 교육 관련 기관임을 의미하는 점에서 일치한다.	1630220
?	1	1	n	0	教材	きょうざい	teaching materials	교재(1)	敎材	학문이나 기예 따위를 가르치거나 배우는 데 필요한 여러 가지 재료.	일본어의 신자체 '教材'와 한국의 정자 '敎材'는 같은 단어의 한자 표기 차이일 뿐이며 뜻도 동일하다.	1237110
?	1	1	n	0	教職員	きょうしょくいん	teaching staff, faculty	교직-원(0)	敎職員	학교의 교원 및 사무 직원.	표준국어대사전의 '敎職員'은 일본어의 신자체 '教職員'과 동일한 단어이며, 한자 부수 단순화에 따른 자형 차이일 뿐 뜻은 같습니다.	1237230
?	1	1	n	0	既存	きそん	existing	기존(0)	旣存	이미 존재함.	일본어의 '既存'과 한국어의 '기존'은 모두 '이미 존재하다'는 동일한 뜻으로, 일본 신자체와 한국 정자 (旣→既) 의 자형 차이로 인해 표기가 다를 뿐 같은 단어입니다.	1220450
?	1	1	n	0	条件付	じょうけんつき	conditional, qualified, with conditions attached	조건-부(0)	條件附	무슨 일에 일정한 제한이 붙거나 제한을 붙임. 또는 그 제한.	일본어의 '조건부'와 한국 사전의 '조건부'는 모두 '일정한 조건이 붙은 상태'라는 동일한 뜻을 가지며, 일본어 신자체 (附) 와 중국식 정자/한자 (附) 의 자형 차이로 인해 표기만 다른 동일한 단어입니다.	1356520
?	1	1	n	0	歳入	さいにゅう	annual revenue (government), annual income (government), budget receipts	세입(1)	稅入	조세의 수입.	일본어의 '歳入'은 한국에서 통용되는 표준 표기인 '세입 (稅入)'과 동일한 단어이며, 일본에서는 '歲'를 쓰지만 한국 사전에는 원형인 '稅'로 표기된 경우다.	1294970
?	1	1	n	0	歳出	さいしゅつ	annual expenditure (of a state, organization, etc.)	세출(0)	歲出	국가나 지방 자치 단체의 한 회계 연도에 있어서의 모든 지출.	일본어의 '歳出'과 한국어의 '세출'은 모두 국가 지출을 뜻하는 동일한 개념으로, 한자 표기 차이 (歲 vs 岁) 와 음운 변화에 의한 것뿐이다.	1294960
?	1	1	n	0	温暖	おんだん	warm, mild, temperate	온난(0)	溫暖/溫煖	날씨가 따뜻함.	일본어의 '온난'과 한국어의 '온난'은 모두 '날씨가 따뜻하다'는 동일한 뜻으로, 한자 표기 차이 (溫煖 vs 溫暖) 만 있을 뿐 같은 단어입니다.	1183480
?	1	1	n	0	画期的	かっきてき	ground-breaking, revolutionary, unprecedented, epoch-making	획기-적(0)	劃期的	어떤 과정이나 분야에서 전혀 새로운 시기를 열어 놓을 만큼 뚜렷이 구분되는 것.	일본어의 '劃'은 한국 표준국어대사전의 표기인 '劃'과 동일한 정자이며, 두 표제어는 한자 구성과 의미 모두 동일하므로 같은 단어입니다.	1590470
?	1	1	n	0	税金	ぜいきん	tax, duty	세금(1)	稅金	국가 또는 지방 공공 단체가 필요한 경비로 사용하기 위하여 국민이나 주민으로부터 강제로 거두어들이는 금전. 국세와 지방세가 있다.	일본어의 '税金'과 한국 사전의 '稅金'은 정자/신자체 차이로 같은 단어이며 뜻도 동일합니다.	1382100
?	1	1	n	0	税額	ぜいがく	amount of tax	세액(0)	稅額	조세의 액수.	일본어의 '税額'과 한국어의 '세액'은 모두 조세의 금액을 의미하는 동일한 개념이며, 한자 표기 차이 (稅 vs 税) 는 일본 신자체와 중국/한국 정자의 단순화 차이로 인해 발생한 자형상의 차이일 뿐 뜻은 동일합니다.	1382080
?	1	1	n	0	脱退	だったい	withdrawal (e.g. from an organization), secession, leaving, pulling out	탈퇴(0)	脫退	관계하고 있던 조직이나 단체 따위에서 관계를 끊고 물러남.	일본어의 신자체 '脱退'과 한국의 정자 '脫退'은 같은 단어의 한자 표기 차이일 뿐이며 뜻도 동일합니다.	1416570
