verdict	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	id
	Y	0	角度	かくど	angle	각도(1)	角度	생각의 방향이나 관점.	1206190
	Y	0	閣僚	かくりょう	cabinet ministers	각료(0)	閣僚	한 나라의 내각을 구성하는 각 장관.	1206310
	Y	0	脚本	きゃくほん	script, screenplay, scenario	각본(2)	脚本	연극이나 영화를 만들기 위하여 쓴 글. 배우의 동작이나 대사, 무대 장치 따위가 구체적으로 적혀 있다.	1226880
	Y	0	閣議	かくぎ	cabinet meeting	각의(2)	閣議	‘내각 회의’를 줄여 이르는 말.	1206300
	Y	0	懇談	こんだん	friendly chat, relaxed conversation, informal meeting	간담(2)	懇談	서로 정답게 이야기를 주고받음. 또는 그 이야기.	1289900
	Y	0	幹部	かんぶ	management, (executive) staff, leaders, leadership	간부(5)	幹部	기관이나 조직체 따위의 중심이 되는 자리에서 책임을 맡거나 지도하는 사람.	1212170
	Y	0	幹事	かんじ	executive secretary, coordinator, organizer, person in charge of making arrangements	간사(6)	幹事	일을 맡아 주선하고 처리함.	1212110
	Y	0	簡素	かんそ	simple, plain, modest	간소(4)	簡素	‘간소하다’의 어근.	1214300
	Y	0	簡易	かんい	simple, simplified, easy, plain	간이(3)	簡易	간단하고 편리함. 물건의 내용, 형식이나 시설 따위를 줄이거나 간편하게 하여 이용하기 쉽게 한 상태를 이른다.	1214270
	Y	0	肝炎	かんえん	hepatitis	간염(0)	肝炎	간에 생기는 염증을 통틀어 이르는 말. 발열·황달·전신 권태·소화 장애의 증상을 보이는데, 주된 원인은 음식물과 혈액을 통한 바이러스의 감염이며 그 밖에 약물, 알코올, 알레르기 따위가 원인인 것도 있다.	1214640
	Y	0	看板	かんばん	signboard, sign, billboard, hoarding	간판(2)	看板	기관, 상점, 영업소 따위에서 이름이나 판매 상품, 업종 따위를 써서 사람들의 눈에 잘 뜨이게 걸거나 붙이는 표지(標識).	1213990
	Y	0	刊行	かんこう	publication, issue	간행(1)	刊行	책 따위를 인쇄하여 발행함.	1210570
	Y	0	看護	かんご	nursing, (army) nurse	간호(0)	看護	다쳤거나 앓고 있는 환자나 노약자를 보살피고 돌봄.	1213810
	Y	0	看護婦	かんごふ	(female) nurse	간호-부(0)	看護婦	‘간호사’의 전 용어.	1213870
	Y	0	簡単	かんたん	simple, easy, uncomplicated, brief	간단(2)	簡單	‘간단하다’의 어근.	1214330
	Y	0	干渉	かんしょう	interference, intervention, meddling	간섭(0)	干涉	직접 관계가 없는 남의 일에 부당하게 참견함.	1212050
	Y	0	肝臓	かんぞう	liver	간장(4)	肝臟	가로막 바로 밑의 오른쪽에 있는 기관. 탄수화물을 저장하고, 단백질이나 당의 대사를 조절하며, 해독 작용을 한다.	1214660
	Y	0	監督	かんとく	supervision, control, superintendence, direction	감독(0)	監督	일이나 사람 따위가 잘못되지 아니하도록 살피어 단속함. 또는 일의 전체를 지휘함.	1213720
	Y	0	感動	かんどう	being deeply moved emotionally, excitement, passion, inspiration	감동(2)	感動	크게 느끼어 마음이 움직임.	1212570
	Y	0	感謝	かんしゃ	thanks, gratitude, appreciation, thankfulness	감사(8)	感謝	고마움을 나타내는 인사.	1212380
	Y	0	監査	かんさ	inspection, audit, judgement, judgment	감사(13)	監査	감독하고 검사함.	1590860
	Y	0	監査役	かんさやく	auditor, inspector	감사-역(0)	監査役	‘감사’의 전 용어.	1213650
	Y	0	感想	かんそう	impressions, thoughts, feelings, reactions	감상(2)	感想	마음속에서 일어나는 느낌이나 생각.	1212480
	Y	0	感性	かんせい	sensitivity, sensitiveness, sense (of ...)	감성(2)	感性	자극이나 자극의 변화를 느끼는 성질.	1212460
	Y	0	減少	げんしょう	decrease, reduction, decline	감소(1)	減少	양이나 수치가 줆. 또는 양이나 수치를 줄임.	1263210
	Y	0	減速	げんそく	deceleration	감속(0)	減速	속도를 줄임. 또는 그 속도.	1263270
	Y	0	監視	かんし	monitoring, watching, observation, surveillance	감시(2)	監視	단속하기 위하여 주의 깊게 살핌.	1213680
	Y	0	感心	かんしん	admiration, being impressed, admirable, praiseworthy	감심(3)	感心	마음속 깊이 느낌. 또는 그렇게 감동되어 마음이 움직임.	1212450
	Y	0	減額	げんがく	reduction (esp. in price or cost), diminution, abatement	감액(0)	減額	액수를 줄임. 또는 줄인 액수.	1263160
	Y	0	感染	かんせん	infection, contagion, becoming infected, being infected (e.g. with harmful ideas)	감염(2)	感染	나쁜 버릇이나 풍습, 사상 따위가 영향을 주어 물이 들게 함.	1212470
	Y	0	減益	げんえき	decrease in profits	감익(0)	減益	지난 결산기에 비하여 이익이 감소함.	1630930
	Y	0	感情	かんじょう	emotion, feeling, feelings, sentiment	감정(6)	感情	어떤 현상이나 일에 대하여 일어나는 마음이나 느끼는 기분.	1212410
	Y	0	鑑定	かんてい	judgement, judgment, expert opinion, appraisal	감정(10)	鑑定	사물의 특성이나 참과 거짓, 좋고 나쁨을 분별하여 판정함.	1215210
	Y	0	減収	げんしゅう	fall, decrease (in income)	감수(7)	減收	거두어들이는 것이 줆.	1263200
	Y	0	感覚	かんかく	sense, sensation, feeling, intuition	감각(2)	感覺	눈, 코, 귀, 혀, 살갗을 통하여 바깥의 어떤 자극을 알아차림.	1212330
	Y	0	講堂	こうどう	auditorium, lecture hall	강당(0)	講堂	강연이나 강의, 의식 따위를 할 때에 쓰는 건물이나 큰 방.	1282340
	Y	0	綱領	こうりょう	general plan, main points, summary, platform (e.g. for a campaign)	강령(2)	綱領	일의 근본이 되는 큰 줄거리.	1280940
	Y	0	講師	こうし	speaker, lecturer, lecturer (at a university or college), instructor	강사(4)	講師	학교나 학원 따위에서 위촉을 받아 강의를 하는 사람. 시간 강사와 전임 강사가 있다.	1282280
	Y	0	講習	こうしゅう	short course, training	강습(2)	講習	일정 기간 동안 학문, 기예, 실무 따위를 배우고 익히도록 지도함.	1282290
	Y	0	講演	こうえん	lecture, address, speech	강연(3)	講演	일정한 주제에 대하여 청중 앞에서 강의 형식으로 말함.	1282240
	Y	0	講義	こうぎ	lecture	강의(2)	講義	학문이나 기술의 일정한 내용을 체계적으로 설명하여 가르침.	1282260
	Y	0	講座	こうざ	course (e.g. of lectures), academic university unit (professor, lecturers, etc.)	강좌(0)	講座	강의나 강연 또는 설교를 하는 자리.	1282270
	Y	0	仮称	かしょう	temporary name, provisional name	가칭(2)	假稱	어떤 이름을 임시로 정하여 부름. 또는 그 이름.	1187610
	Y	0	改良	かいりょう	improvement, reform	개량(1)	改良	나쁜 점을 보완하여 더 좋게 고침.	1201140
	Y	0	開幕	かいまく	raising the curtain, opening (of an event), start, beginning	개막(1)	開幕	막을 열거나 올린다는 뜻으로, 연극이나 음악회, 행사 따위를 시작함.	1202960
	Y	0	開放	かいほう	opening (a door, window, etc.), leaving open, opening up (e.g. to the public), allowing (public) access	개방(3)	開放	문이나 어떠한 공간 따위를 열어 자유롭게 드나들고 이용하게 함.	1202950
	Y	0	個別	こべつ	individual, separate, personal, case-by-case	개별(0)	個別	여럿 중에서 하나씩 따로 나뉘어 있는 상태.	1265000
	Y	0	改善	かいぜん	betterment, improvement, kaizen (Japanese business philosophy of continuous improvement)	개선(1)	改善	잘못된 것이나 부족한 것, 나쁜 것 따위를 고쳐 더 좋게 만듦.	1200960
	Y	0	改選	かいせん	election (for a seat or position at the end of a term)	개선(2)	改選	의원이나 임원 등이 사퇴하거나 그 임기가 다 되었을 때 새로 선출함.	1200950
	Y	0	開設	かいせつ	establishment, opening, setting up, inauguration	개설(2)	開設	설비나 제도 따위를 새로 마련하고 그에 관한 일을 시작함.	1202800
	Y	0	個性	こせい	individuality, personality, quirk, idiosyncrasy	개성(3)	個性	다른 사람이나 개체와 구별되는 고유의 특성.	1264960
	Y	0	開始	かいし	start, commencement, beginning, initiation	개시(6)	開始	행동이나 일 따위를 시작함.	1202760
	Y	0	開示	かいじ	release (of information, documents, etc.), disclosure, display, discovery	개시(5)	開示	열어서 보임.	1202770
	Y	0	個人	こじん	individual, private person, personal, private	개인(2)	個人	국가나 사회, 단체 등을 구성하는 낱낱의 사람.	1264770
	Y	0	個人的	こじんてき	personal, individual, private	개인-적(0)	個人的	개인에 속하거나 관계되는 것.	1264890
	Y	0	介入	かいにゅう	intervention	개입(0)	介入	자신과 직접적인 관계가 없는 일에 끼어듦.	1198110
	Y	0	改定	かいてい	revision (of a rule, price, etc.), alteration, change	개정(3)	改定	이미 정하였던 것을 고쳐 다시 정함.	1201040
	Y	0	改正	かいせい	revision, amendment, alteration	개정(2)	改正	주로 문서의 내용 따위를 고쳐 바르게 함.	1200930
	Y	0	改造	かいぞう	remodeling, remodelling, reconstruction, conversion	개조(1)	改造	고쳐 만들거나 바꿈.	1201000
	Y	0	開催	かいさい	holding (a conference, exhibition, etc.), opening, hosting (e.g. the Olympics)	개최(0)	開催	모임이나 회의 따위를 주최하여 엶.	1202710
	Y	0	開票	かいひょう	counting ballots, tally (of votes)	개표(3)	開票	투표함을 열고 투표의 결과를 검사함.	1202910
	Y	0	改憲	かいけん	constitutional change, revising the constitution	개헌(0)	改憲	헌법을 고침.	1200810
	Y	0	改革	かいかく	reform, reformation, reorganization	개혁(0)	改革	제도나 기구 따위를 새롭게 뜯어고침.	1200780
	Y	0	介護	かいご	nursing, care, caregiving, caring	개호(1)	介護	곁에서 돌보아 줌.	1198060
	Y	0	客席	きゃくせき	guest seating (e.g. theater, stadium), passenger seat (e.g. taxi), audience	객석(0)	客席	극장 따위에서 손님이 앉는 자리.	1226760
	Y	0	客観的	きゃっかんてき	objective	객관-적(0)	客觀的	자기와의 관계에서 벗어나 제삼자의 입장에서 사물을 보거나 생각하는 것.	1226700
	Y	0	開会	かいかい	opening of a meeting	개회(3)	開會	회의나 회합 따위를 시작함. 또는 의회, 전람회, 박람회 따위를 엶.	1202560
	Y	0	開戦	かいせん	outbreak of war, starting a war	개전(4)	開戰	전쟁을 시작함.	1202810
	Y	0	開発	かいはつ	development, cultivation, application, exploitation (of resources)	개발(0)	開發	토지나 천연자원 따위를 유용하게 만듦.	1202880
	Y	0	去年	きょねん	last year	거년(0)	去年	이해의 바로 앞의 해.	1231690
	Y	0	巨大	きょだい	huge, gigantic, enormous	거대(0)	巨大	엄청나게 큼.	1232180
	Y	0	距離	きょり	distance, range, interval, difference (e.g. in opinion)	거리(7)	距離	두 개의 물건이나 장소 따위가 공간적으로 떨어진 길이.	1232920
	Y	0	拒否	きょひ	refusal, rejection, denial, veto	거부(2)	拒否	요구나 제의 따위를 받아들이지 않고 물리침.	1232410
	Y	0	拒否権	きょひけん	right of veto	거부-권(0)	拒否權	거부할 수 있는 권리.	1232420
	Y	0	巨額	きょがく	huge sum (esp. of money), enormous sum, massive amount	거액(0)	巨額	아주 많은 액수의 돈.	1231950
	Y	0	巨人	きょじん	giant, great man, Tokyo Giants (baseball team)	거인(1)	巨人	몸이 아주 큰 사람.	1232090
	Y	0	居住	きょじゅう	residence, living (at, in), abode	거주(2)	居住	일정한 곳에 머물러 삶. 또는 그런 집.	1231810
	Y	0	健康	けんこう	health, healthy, sound, fit	건강(3)	健康	정신적으로나 육체적으로 아무 탈이 없고 튼튼함. 또는 그런 상태.	1256170
	Y	0	建物	たてもの	building	건물(3)	建物	사람이 들어 살거나, 일을 하거나, 물건을 넣어 두기 위하여 지은 집을 통틀어 이르는 말.	1257540
	Y	0	建設	けんせつ	construction, establishment	건설(0)	建設	건물, 설비, 시설 따위를 새로 만들어 세움.	1257420
	Y	0	健全	けんぜん	healthy, sound, wholesome	건전(2)	健全	병이나 탈이 없이 건강하고 온전함.	1256360
	Y	0	建築	けんちく	construction, architecture (of buildings)	건축(1)	建築	집이나 성, 다리 따위의 구조물을 그 목적에 따라 설계하여 흙이나 나무, 돌, 벽돌, 쇠 따위를 써서 세우거나 쌓아 만드는 일.	1257500
	Y	0	件数	けんすう	number of cases, incidents, items, messages, accounts, etc.	건수(1)	件數	일이나 사건 따위의 수.	1255950
	Y	0	激動	げきどう	violent shock, agitation, turbulence, turmoil	격동(2)	激動	정세 따위가 급격하게 움직임.	1253720
	Y	0	格差	かくさ	qualitative difference, disparity, gap	격차(1)	格差	가격이나 자격, 품등 따위의 서로 다른 정도.	1205340
	Y	0	激化	げきか	intensification, aggravation	격화(0)	激化	격렬하게 됨.	1253640
	Y	0	激戦	げきせん	fierce battle, hard-fought battle, hot contest, severe fight	격전(0)	激戰	세차게 싸움. 또는 세찬 싸움.	1253680
	Y	0	堅調	けんちょう	firm (market), bullish, strong (sales, economy, etc.), steady	견조(0)	堅調	주가의 시세가 내리지 않고 높은 상태에 계속 머물러 있음.	1257180
	Y	0	堅持	けんじ	adhering to (a view, policy, etc.), sticking to, holding fast to, steadfastly maintaining	견지(3)	堅持	어떤 견해나 입장 따위를 굳게 지니거나 지킴.	1257150
	Y	0	見解	けんかい	opinion, point of view	견해(2)	見解	어떤 사물이나 현상에 대한 자기의 의견이나 생각.	1259390
	Y	0	見学	けんがく	inspection, study by observation, field trip, tour	견학(0)	見學	실지로 보고 그 일에 관한 구체적인 지식을 넓힘.	1259440
	Y	0	結果	けっか	result, consequence, outcome, effect	결과(2)	結果	열매를 맺음. 또는 그 열매.	1254690
	Y	0	結構	けっこう	splendid, nice, wonderful, delightful	결구(4)	結構	일정한 형태로 얼개를 만듦. 또는 그렇게 만든 물건.	1254760
	Y	0	結局	けっきょく	after all, in the end, ultimately, eventually	결국(0)	結局	일이 마무리되는 마당이나 일의 결과가 그렇게 돌아감을 이르는 말.	1254730
	Y	0	決裂	けつれつ	breakdown (of talks, negotiations, etc.), breaking off, rupture	결렬(0)	決裂	갈래갈래 찢어짐.	1254430
	Y	0	結論	けつろん	conclusion (of an argument, discussion, study, etc.), conclusion	결론(2)	結論	말이나 글의 끝을 맺는 부분.	1255020
	Y	0	決算	けっさん	settlement of accounts, closing accounts, financial results, reporting (of accounts)	결산(0)	決算	일정한 기간 동안의 수입과 지출을 마감하여 계산함. 또는 그렇게 산출한 계산.	1254290
	Y	0	結成	けっせい	formation, combination	결성(0)	結成	조직이나 단체 따위를 짜서 만듦.	1254900
	Y	0	結束	けっそく	union, unity, solidarity, bundling	결속(0)	結束	한 덩어리가 되게 묶음.	1254930
	Y	0	決勝	けっしょう	decision of a contest, finals	결승(1)	決勝	운동 경기 따위에서, 마지막 승자를 결정함.	1254320
	Y	0	決意	けつい	decision, determination, resolution	결의(1)	決意	뜻을 정하여 굳게 마음을 먹음. 또는 그런 마음.	1254220
	Y	0	決議	けつぎ	resolution, vote, decision	결의(3)	決議	의논하여 결정함. 또는 그런 결정.	1254240
	Y	0	決定	けってい	decision, determination	결정(1)	決定	행동이나 태도를 분명하게 정함. 또는 그렇게 정해진 내용.	1254380
	Y	0	決定的	けっていてき	definite, final, decisive, conclusive	결정-적(0)	決定的	일이 되어 가는 형편이 바뀔 수 없을 만큼 확실한 것.	1254400
	Y	0	結集	けっしゅう	concentration (of efforts, forces, etc.), gathering together, regimentation, marshalling	결집(0)	結集	한곳에 모여 뭉침. 또는 한곳에 모아 뭉침.	1254860
	Y	0	結核	けっかく	tuberculosis, TB, concretion	결핵(0)	結核	결핵균에 감염되어 일어나는 만성 전염병. 허파·콩팥·창자나 뼈·관절·피부·후두 따위에 침투하며 결핵 수막염, 흉막염, 복막염을 일으키고 온몸에 퍼지기도 한다.	1254710
	Y	0	結婚	けっこん	marriage	결혼(0)	結婚	남녀가 정식으로 부부 관계를 맺음.	1254790
	Y	0	結婚式	けっこんしき	marriage ceremony, wedding, nuptials	결혼-식(0)	結婚式	부부 관계를 맺는 서약을 하는 의식.	1254810
	Y	0	決断	けつだん	decision, determination	결단(1)	決斷	결정적인 판단을 하거나 단정을 내림. 또는 그런 판단이나 단정.	1254370
	Y	0	決済	けっさい	settlement (of an account), liquidation of debts, payment	결제(1)	決濟	일을 처리하여 끝을 냄.	1254260
	Y	0	境界	きょうかい	boundary, border, limit, bounds	경계(4)	境界	사물이 어떠한 기준에 의하여 분간되는 한계.	1235960
	Y	0	警戒	けいかい	vigilance, caution, alertness, precaution	경계(7)	警戒	뜻밖의 사고가 생기지 않도록 조심하여 단속함.	1252310
	Y	0	警告	けいこく	warning, caution, admonition, keikoku (penalty in judo)	경고(4)	警告	조심하거나 삼가도록 미리 주의를 줌. 또는 그 주의.	1252360
	Y	0	警官	けいかん	police officer, policeman, constable	경관(6)	警官	‘경찰 공무원’을 일상적으로 이르는 말.	1252330
	Y	0	競技	きょうぎ	game, match, contest, competition	경기(11)	競技	일정한 규칙 아래 기량과 기술을 겨룸. 또는 그런 일.	1234080
	Y	0	京都	きょうと	Kyoto (city, prefecture)	경도(1)	京都	한 나라의 중앙 정부가 있는 곳.	1652350
	Y	0	競馬	けいば	horse racing	경마(6)	競馬	일정한 거리를 말을 타고 달려 빠르기를 겨루는 경기.	1234210
	Y	0	警報	けいほう	warning, alarm, alert	경보(8)	警報	화재나 공습 따위의 위험이 닥쳐올 때 경계하도록 미리 알리는 일. 또는 그 보도나 신호.	1252520
	Y	0	警備	けいび	defense, defence, guard, policing	경비(4)	警備	도난, 재난, 침략 따위를 염려하여 사고가 나지 않도록 미리 살피고 지키는 일.	1252490
	Y	0	更新	こうしん	renewal, update, replacement, renovation	경신(1)	更新	이미 있던 것을 고쳐 새롭게 함.	1279370
	Y	0	警視庁	けいしちょう	Metropolitan Police Department (Tokyo)	경시-청(0)	警視廳	대한 제국 때에, 한성부와 경기도의 경찰 및 소방 업무를 맡아보던 관청. 융희 원년(1907)에 이전의 경무청을 고친 것으로 융희 4년(1910)에 일제에 강점되기 전까지 두었다.	1252450
	Y	0	警察	けいさつ	police, police officer, police station, self-appointed enforcer (of a rule, standard, etc.)	경찰(4)	警察	경계하여 살핌.	1252390
	Y	0	警察庁	けいさつちょう	National Police Agency, NPA	경찰-청(0)	警察廳	중앙 행정 기관의 하나. 행정 안전부 장관 소속으로, 치안에 관한 사무를 맡아본다.	1252420
	Y	0	硬派	こうは	hard-liners, diehards, hawks, (young) man with traditionally masculine interests	경파(1)	硬派	강경하게 의견을 주장하거나 행동하는 파.	1280640
	Y	0	傾向	けいこう	tendency, trend, inclination	경향(2)	傾向	현상이나 사상, 행동 따위가 어떤 방향으로 기울어짐.	1249470
	Y	0	競争	きょうそう	competition, contest, rivalry, race	경쟁(0)	競爭	같은 목적에 대하여 이기거나 앞서려고 서로 겨룸.	1234140
	Y	0	景気	けいき	business conditions, the market, economic activity, economic climate	경기(5)	景氣	매매나 거래에 나타나는 호황·불황 따위의 경제 활동 상태.	1250830
	Y	0	敬称	けいしょう	honorific title, honorific term of address	경칭(0)	敬稱	공경하는 뜻으로 부르는 칭호. 각하(閣下), 선생, 귀하 따위가 있다.	1250760
	Y	0	景観	けいかん	scenery	경관(4)	景觀	산이나 들, 강, 바다 따위의 자연이나 지역의 풍경.	1250820
	Y	0	階級	かいきゅう	(social) class, rank, grade	계급(2)	階級	사회나 일정한 조직 내에서의 지위, 관직 따위의 단계.	1203040
	Y	0	契機	けいき	opportunity, chance, trigger, cause	계기(4)	契機	어떤 일이 일어나거나 변화하도록 만드는 결정적인 원인이나 기회.	1250180
	Y	0	階段	かいだん	stairs, stairway, staircase	계단(4)	階段	사람이 오르내리기 위하여 건물이나 비탈에 만든 층층대.	1203090
	Y	0	計算	けいさん	calculation, computation, reckoning, counting	계산(1)	計算	수를 헤아림.	1252140
	Y	0	契約	けいやく	contract, compact, agreement	계약(0)	契約	관련되는 사람이나 조직체 사이에서 서로 지켜야 할 의무에 대하여 글이나 말로 정하여 둠. 또는 그런 약속.	1250190
	Y	0	季節	きせつ	season, time of year	계절(1)	季節	규칙적으로 되풀이되는 자연 현상에 따라서 일 년을 구분한 것. 일반적으로 온대 지방은 기온의 차이를 기준으로 하여 봄, 여름, 가을, 겨울의 네 계절로 나누고, 열대 지방에서는 강우량을 기준으로 하여 건기와 우기로 나눈다. 천문학적으로는 춘분, 하지, 추분, 동지로 나눈다.	1222840
	Y	0	系統	けいとう	system, lineage, ancestry, family line	계통(1)	系統	일정한 체계에 따라 서로 관련되어 있는 부분들의 통일적 조직.	1251030
	Y	0	計画	けいかく	plan, project, schedule, scheme	계획(2)	計畫	관학 유생의 평소 성적을 따져서 시험의 등급을 정하던 일.	1252090
	Y	0	顧客	こきゃく	customer, client, patron	고객(4)	顧客	상점 따위에 물건을 사러 오는 손님.	1578540
	Y	0	考古学	こうこがく	archaeology, archeology	고고-학(0)	考古學	유물과 유적을 통하여 옛 인류의 생활, 문화 따위를 연구하는 학문.	1281120
	Y	0	高官	こうかん	high official	고관(4)	高官	지위가 높은 벼슬이나 관리.	1283330
	Y	0	高校	こうこう	senior high school, high school	고교(4)	高校	중학교를 졸업한 사람에게 고등 보통 교육과 실업 교육을 실시하는 학교. 인문계와 실업계의 두 종류가 있고 수업 연한은 3년이다.	1283500
	Y	0	高校生	こうこうせい	senior high school student	고교-생(0)	高校生	고등학교에 다니는 학생.	1283510
	Y	0	高級	こうきゅう	high-class, high-grade, high-quality, high-end	고급(2)	高級	내용, 품질, 등급, 수준 따위가 높음.	1283400
	Y	0	古代	こだい	ancient times, distant past, antiquity	고대(3)	古代	옛 시대.	1265760
	Y	0	高度	こうど	altitude, height, elevation, high-degree	고도(8)	高度	평균 해수면 따위를 0으로 하여 측정한 대상 물체의 높이.	1283830
	Y	0	高等	こうとう	high class, high grade	고등(2)	高等	등급이나 수준, 정도 따위가 높음. 또는 그런 정도.	1283850
	Y	0	高騰	こうとう	sharp rise (in prices), steep rise, substantial increase, soaring	고등(3)	高騰	물건값이 뛰어오름.	1283870
	Y	0	孤立	こりつ	isolation, being alone, being friendless	고립(1)	孤立	다른 사람과 어울리어 사귀지 아니하거나 다른 사람의 도움을 받지 못하여 외따로 떨어짐.	1266860
	Y	0	顧問	こもん	adviser, advisor, consultant, counselor	고문(9)	顧問	의견을 물음.	1267880
	Y	0	告別	こくべつ	farewell, leave-taking	고별(0)	告別	같이 있던 사람과 헤어지면서 작별을 알림.	1286080
	Y	0	古墳	こふん	ancient burial mound, barrow, tumulus	고분(2)	古墳	고대에 만들어진 무덤.	1266100
	Y	0	高速	こうそく	high-speed, rapid, express, highway	고속(2)	高速	매우 빠른 속도.	1283700
	Y	0	高速道路	こうそくどうろ	highway, freeway, expressway, motorway	고속^도로(0)	高速道路	차의 빠른 통행을 위하여 만든 차 전용의 도로.	1283720
	Y	0	告示	こくじ	notice, bulletin	고시(4)	告示	글로 써서 게시하여 널리 알림. 주로 행정 기관에서 일반 국민들을 대상으로 어떤 내용을 알리는 경우를 이른다.	1286010
	Y	0	高額	こうがく	large sum (of money), large amount, large denomination (banknote, etc.)	고액(2)	高額	많은 액수.	1283320
	Y	0	雇用	こよう	employment, hire	고용(2)	雇用	임금을 주고 일을 시킴.	1267860
	Y	0	固有	こゆう	characteristic (of), peculiar (to), inherent (in), endemic	고유(3)	固有	본래부터 가지고 있는 특유한 것.	1266730
	Y	0	故人	こじん	the deceased, the departed, old friend, longtime acquaintance	고인(3)	故人	죽은 사람.	1267190
	Y	0	故障	こしょう	fault, trouble, breakdown, failure	고장(9)	故障	기구나 기계가 제대로 움직이지 못하게 되는 기능상의 장애.	1267180
	Y	0	古典	こてん	classic (work, esp. book), the classics	고전(2)	古典	옛날의 의식(儀式)이나 법식(法式).	1265860
	Y	0	固定	こてい	fixing (in place), being fixed (in place), securing, anchoring	고정(5)	固定	한번 정한 대로 변경하지 아니함.	1266650
	Y	0	苦情	くじょう	complaint, troubles, objection, grievance	고정(10)	苦情	괴로운 심정이나 사정.	1244520
	Y	0	高層	こうそう	high-rise (building), multistory, multistoried, tall	고층(0)	高層	여러 층으로 된 것의 높은 층.	1283690
	Y	0	高値	たかね	high price	고치(6)	高値	비싼 값.	1283760
	Y	0	困難	こんなん	difficulty, hardship, trouble, distress	곤난(0)	困難	→ 곤란.	1289620
	Y	0	昆虫	こんちゅう	insect, bug	곤충(0)	昆蟲	곤충강에 속한 동물을 통틀어 이르는 말.	1289980
	Y	0	骨子	こっし	main point, gist, essentials, bones (e.g. of an idea)	골자(0)	骨子	말이나 일의 내용에서 중심이 되는 줄기를 이루는 것.	1288600
	Y	0	骨髄	こつずい	bone marrow, medulla, heart's core, depths of one's heart	골수(0)	骨髓	뼈의 중심부인 골수 공간(骨髓空間)에 가득 차 있는 결체질(結締質)의 물질. 적색수(赤色髓)와 황색수(黃色髓)가 있는데, 적색수는 적혈구와 백혈구를 만들고, 황색수는 양분의 저장을 맡는다.	1288610
	Y	0	空間	くうかん	space, room, airspace	공간(5)	空間	아무것도 없는 빈 곳.	1245450
	Y	0	共感	きょうかん	sympathy, empathy, response, identification (with someone)	공감(0)	共感	남의 감정, 의견, 주장 따위에 대하여 자기도 그렇다고 느낌. 또는 그렇게 느끼는 기분.	1234370
