verdict	tier	llm	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	llm_reason	id
2	2	2	Y	0	官房	かんぼう	government secretariat	관방(2)	官房	벼슬아치가 일을 보거나 숙직하던 방.	일본어의 '官房'은 행정부 내 특정 부서를 지칭하는 고유 명사적 용어인 반면, 한국 표준국어대사전의 '관방 (2)'은 벼슬아치가 일을 보던 방이라는 일반 명사적 공간 개념을 뜻하여 핵심 의미가 다릅니다.	1211800
2	2	2	Y	0	狂言	きょうげん	kyogen, farce presented between noh plays or during the interlude of a noh play, kabuki play, kabuki performance	광언(1)	狂言	상식을 벗어나 미친 듯이 말함. 또는 그런 말.	일본어의 '狂言'은 연극 장르를 지칭하는 고유명사적 용어인 반면, 한국어의 '광언'은 상식을 벗어난 말이나 미친 듯한 말을 뜻하는 일반 명사이므로 핵심 의미와 쓰임새가 완전히 다릅니다.	1237570
1	2	2	Y	0	交通	こうつう	traffic, transportation, communication, exchange (of ideas, etc.)	교통(1)	交通	자동차·기차·배·비행기 따위를 이용하여 사람이 오고 가거나, 짐을 실어 나르는 일.	일본어의 '교통'은 사람과 물건의 이동뿐만 아니라 정보나 사상의 교류까지 포함하는 넓은 의미의 소통을 지칭하지만, 한국 표준국어대사전의 '교통'은 주로 자동차·기차 등 운송 수단을 이용한 사람의 왕래와 짐 실어 나르는 구체적인 이동 행위를 뜻하여 핵심 의미가 갈린다.	1272280
1	2	2	Y	0	交渉	こうしょう	negotiations, bargaining, discussions, talks	교섭(0)	交涉	어떤 일을 이루기 위하여 서로 의논하고 절충함.	일본어의 '交渉'은 주로 타협이나 거래를 위한 논의를 뜻하는 반면, 한국 표준국어대사전의 '교섭' (원어 交涉) 은 특정 사안을 해결하기 위한 공식적인 의논과 절충을 강조하여 핵심 뉘앙스가 다릅니다.	1272110
2	2	2	Y	0	久々	ひさびさ	(in a) long time, long time (ago), while (ago), long ago	구구(6)	久久	‘구구하다’의 어근.	일본어의 '久々'는 시간의 경과를 나타내는 명사적 숙어로 쓰이는 반면, 한국 표준국어대사전의 '구구'는 '구구하다'라는 동사의 어근으로 기능하며 핵심 의미와 문법적 역할이 다릅니다.	1601820
2	2	2	Y	0	九州	きゅうしゅう	Kyūshū (southernmost of the four main islands of Japan)	구주(1)	九州	통일 신라 시대에, 전국을 나눈 9개의 주. 상주(尙州), 양주(良州), 강주(康州), 웅주(熊州), 전주(全州), 무주(武州), 한주(漢州), 삭주(朔州), 명주(溟州)를 이른다.	동일한 한자이지만 일본어는 지명 (지리), 한국어는 역사적 행정 구역 (분할된 지역) 을 의미하여 핵심 뜻이 갈린다.	1243710
2	2	2	Y	0	近畿	きんき	Kinki (region around Osaka, Kyoto, Nara)	근기(1)	近畿	서울에서 가까운 곳.	일본어의 '近畿'는 특정 지명 (오사카·교토 등) 을 가리키는 고유명사이지만, 한국 표준국어대사전의 '근기'는 서울에서 가까운 일반적인 지역을 뜻하는 일반 명사로 핵심 의미가 다릅니다.	1242240
1	2	2	Y	0	基地	きち	base (military, expedition, etc.), enthusiast, maniac, fanatic	기지(8)	基地	군대, 탐험대 따위의 활동의 기점이 되는 근거지.	일본어의 '기지'는 군사/탐험의 근거지라는 본래 뜻 외에도 '광신도'나 '애호가'를 지칭하는 확장된 의미가 있는 반면, 한국 표준국어대사전의 '기지'는 엄격하게 군대나 탐험대의 활동 근거지로 한정되어 있어 핵심 쓰임이 갈린다.	1219110
2	2	2	Y	0	金権	きんけん	power of money, financial influence	김-권(0)	金權	조선 중기의 문신(1549~1622). 자는 이중(而中). 호는 졸탄(拙灘). 벼슬은 호조 참판에 이르렀고, 1617년 폐모론(廢母論)에 반대하다가 유배되었는데, 인목 대비의 서궁(西宮) 유폐설(幽閉說)을 듣고 자결하였다.	일본어의 '金権'은 금전적 영향력을 뜻하는 명사이지만, 한국 표준국어대사전의 표제어는 조선 중기의 문신 김권이라는 인명을 지칭하는 고유명사이므로 두 단어의 의미와 용법이 완전히 다릅니다.	1630330
2	2	2	Y	0	金銭	きんせん	money, cash	금전(5)	金錢	금으로 만든 돈.	일본어의 '金銭'은 일반적인 돈이나 현금을 뜻하는 반면, 한국 표준국어대사전의 '금전'은 금으로 만든 화폐라는 고전적/구체적 의미를 지녀 핵심 의미가 갈린다.	1243020
2	2	2	Y	0	機関	きかん	engine, agency, organisation, organization	기관(11)	機關	화력·수력·전력 따위의 에너지를 기계적 에너지로 바꾸는 기계 장치. 이에는 증기 기관, 내연 기관, 수력 기관 따위가 있다.	일본어의 '기관'은 기관차나 엔진 등 기계 장치를 뜻하는 반면, 한국 표준국어대사전의 '기관 (機關)'은 에너지 변환 장치라는 특정 기술적 정의를 지니며, 일본어에서 쓰이는 'agency(기관)', 'organization(조직)' 등의 의미는 한국 사전에는 해당 표제어로 포함되지 않아 핵심 의미가 갈린다.	1220870
2	2	2	Y	0	南極	なんきょく	South Pole, the Antarctic, Antarctica	남극(1)	南極	자침(磁針)이 가리키는 남쪽 끝. 에스(S)로 표시한다.	한자는 동일하지만 한국에서는 지리학적 남극대륙을 뜻하는 반면 일본어 숙어 'なんきょく'는 자침이 가리키는 방향 (남쪽 끝) 을 의미하여 핵심 뜻이 갈린다.	1460180
2	2	2	Y	0	女史	じょし	lady (of high social status; e.g. scholar, artist, critic, politician), Ms, Mrs, Miss	여사(2)	女史	결혼한 여자를 높여 이르는 말.	일본어의 '女史'는 고위 여성 전문가나 관직을 지칭하는 고유명사적 용어인 반면, 한국 표준국어대사전의 '여사 (2)'는 결혼한 여성이라는 일반적인 존칭으로 뜻이 완전히 갈라져 동형이의에 해당합니다.	1345130
2	2	2	Y	0	短歌	たんか	tanka, 31-mora Japanese poem	단가(3)	短歌	가사(歌辭)에 상대하여, ‘시조’를 달리 이르는 말.	일본어의 '단가'는 고전 시조 형식인 '가사'를 지칭하는 반면, 한국 표준국어대사전의 '단가 (3)'는 가사와 대비되는 현대 시조라는 다른 장르를 의미하므로 핵심 뜻이 갈린다.	1418630
2	2	2	Y	0	党議	とうぎ	party conference, party council, party decision, party resolution	당의(5)	黨議	정당에서 내세우는 의견.	일본어의 'party conference'는 당내 의사결정 절차 (회의/판결) 를 지칭하는 반면, 한국어의 '정당에서 내세우는 의견'은 단순한 주장을 의미하여 핵심 의미가 다릅니다.	1648690
1	2	2	Y	0	党派	とうは	faction, party, clique	당파(2)	黨派	주의, 주장, 이해를 같이하는 사람들이 뭉쳐 이룬 단체나 모임.	일본어의 'とうは'는 정파나 소수파를 지칭하는 정치적 성향의 집단을 뜻하지만, 한국 표준국어대사전의 '당파 (2)'는 특정 이념이나 이해관계를 공유하여 뭉친 조직을 포괄적으로 정의하며, 현대 한국어에서는 주로 부정적 뉘앙스 (갈등 집단) 로 쓰이는 반면 일본어는 중립적 또는 긍정적 정파 의미로도 널리 사용되어 핵심 쓰임이 갈린다.	1446030
2	2	2	Y	0	大工	だいく	carpenter	대공(3)	大工	솜씨 좋은 장색(匠色).	일본어의 '大工'은 직업인 목공을 지칭하는 반면, 한국 표준국어대사전의 '대공 (3)'은 장인의 솜씨나 정신을 뜻하는 추상적 개념으로 핵심 의미가 다릅니다.	1413690
2	2	2	Y	0	大口	おおぐち	big mouth, mouth opened wide, boastful speech, tall talk	대구(1)	大口	대구과의 바닷물고기. 몸의 길이는 70~75cm이고 넓적하며, 엷은 회갈색에 배는 흰색이다. 입은 크고 비늘은 작고 둥근 모양이다. 고기는 식용하고 간은 간유의 원료로 쓴다. 한국, 일본, 베링해, 미국 등지에 분포한다.	한자는 동일하지만 일본어는 '큰 입'을 뜻하는 관용적 표현이고 한국어는 특정 어류의 명칭으로 핵심 의미가 완전히 다릅니다.	1643480
2	2	2	Y	0	大麻	たいま	hemp, cannabis, marijuana, pot	대마(2)	大麻	삼과의 한해살이풀. 높이는 온대에서 3미터, 열대에서는 6미터 정도 자라며, 잎은 5~9갈래로 갈라진 장상 복엽으로 열편은 피침 모양이다. 암수딴그루로 7~8월에 꽃이 피고 수꽃은 원추(圓錐) 화서로, 암꽃은 수상(穗狀) 화서로 달린다. 열매는 수과(瘦果)로 공 모양이다. 종자는 식용·약용하거나 사료로 쓰고 줄기의 껍질은 섬유의 원료로 쓰이는데 줄기에서 나오는 진에는 마취 물질이 들어 있다. 중앙아시아가 원산지이며, 아시아·유럽의 온대·열대에 분포한다.	일본어의 '大麻'는 주로 마약류인 대마초를 지칭하는 반면, 한국 표준국어대사전의 '대마'는 식용·약용 및 섬유 원료로 쓰이는 식물 전체를 뜻하므로 핵심 의미가 갈린다.	1415060
2	2	2	Y	0	大物	おおもの	important person, influential figure, big shot, big name	대물(1)	大物	큰 물건.	일본어의 '大物'은 사회적 지위가 높은 사람을 뜻하는 고유한 의미로 쓰이는 반면, 한국 표준국어대사전의 '대물'은 단순히 크거나 값싼 물건을 지칭하는 일반적 명사로 정의되어 핵심 의미가 갈립니다.	1414910
2	2	2	Y	0	大勢	おおぜい	crowd of people, great number of people, in great numbers	대세(1)	大勢	일이 진행되어 가는 결정적인 형세.	일본어의 '大勢'는 '많은 사람'을 뜻하는 반면 한국 표준국어대사전의 '대세'는 '일치나 형세'를 뜻하므로 핵심 의미가 다릅니다.	1414220
2	2	2	Y	0	大丈夫	だいじょうぶ	safe, secure, sound, problem-free	대-장부(0)	大丈夫	건장하고 씩씩한 사내.	일본어의 '大丈夫'은 상황적 안전이나 문제없음을 뜻하는 관용구인 반면, 한국 표준국어대사전의 '대장부'는 신체적으로 건장하고 씩씩한 남성을 지칭하는 명사로서 핵심 의미가 완전히 갈라져 동형이의에 해당합니다.	1414150
2	2	2	Y	0	大正	たいしょう	Taishō era (1912.7.30-1926.12.25), Taisho era	대정(1)	大正	신라에서 둔 상사서와 대도서의 으뜸 벼슬. 진평왕 46년(624)에 설치하여 경덕왕 때 정(正)으로 고쳤으나 후에 다시 이 이름으로 하였으며, 급찬 이상 아찬 이하의 벼슬을 가진 사람으로 임명하였다.	일본어의 '대정'은 일본 황제 시호를 뜻하는 명사이지만, 한국 표준국어대사전의 '대정 (1)'은 신라 시대의 관직 이름이라는 완전히 다른 역사적 실체를 지칭하므로 동형이의에 해당합니다.	1414250
2	2	2	Y	0	大統領	だいとうりょう	president (of a country), big man, boss, buddy	대통령(0)	大統領	외국에 대하여 국가를 대표하는 국가의 원수. 행정부의 실질적인 권한을 갖는 경우와 형식적인 권한만을 가지는 경우가 있는데 우리나라는 전자에 속한다.	일본어의 '대통령'은 국가 원수라는 뜻과 함께 '큰 사람', '장인', '친구' 등 사회적 지위나 친밀도를 나타내는 은유적 의미가 널리 쓰이는 반면, 한국 표준국어대사전의 '대통령'은 외국 국가의 행정부 수반이라는 엄격한 정치적 정의만을 지칭하므로 핵심 의미 범주가 다릅니다.	1414650
2	2	2	Y	0	大変	たいへん	very, greatly, terribly, awfully	대변(3)	大變	많은 변화. 또는 큰 변화.	일본어의 '大変'은 정도를 나타내는 부사 (very) 로 쓰이는 반면, 한국 표준국어대사전의 '대변'은 주로 '큰 변화'라는 명사적 의미를 지니며 두 단어의 핵심 뜻이 갈라져 있다.	1415000
2	2	2	Y	0	大学	だいがく	university, college, former imperial university of Japan (established under the ritsuryō system for the training of government administrators), the Great Learning (one of the Four Books)	대학(1)	大學	고등 교육을 베푸는 교육 기관. 국가와 인류 사회 발전에 필요한 학술 이론과 응용 방법을 교수하고 연구하며, 지도적 인격을 도야한다. 고등학교 졸업자 또는 이와 동등한 학력이 있다고 인정된 사람이 입학하며 수업 연한은 2년에서 6년까지이다.	일본어의 '大学'는 고대 제도를 연상시키는 역사적·학문적 기관을 지칭하는 반면, 한국 표준국어대사전의 '대학'은 현대적인 고등교육기관으로서의 기능과 입학 요건 (고졸 이상) 을 정의하므로 핵심 의미와 쓰임이 갈린다.	1413240
1	2	2	Y	0	大戦	たいせん	great war, great battle, world war	대전(7)	大戰	여러 나라가 참가하여 넓은 지역에 걸쳐 큰 전쟁을 벌임. 또는 그런 전쟁.	일본어의 '大戦'은 특정 전쟁 (제 1 차/제 2 차 세계대전 등) 을 지칭하는 고유명사적 용어인 반면, 한국어의 '대전'은 전쟁 일반을 뜻하는 일반 명사이며, 일본어에서 '전쟁'을 통칭할 때는 주로 '전쟁'이나 '전쟁'이라는 한자어를 사용하므로 핵심 쓰임이 갈립니다.	1414360
1	2	2	Y	0	大気	たいき	atmosphere, air, magnanimous, generous	대기(4)	大氣	‘공기’를 달리 이르는 말.	일본어의 '大気'는 물리적 대기권을 뜻하는 반면 한국 표준국어대사전의 '대기 (4)'는 주로 '공포', '기다림', '잠재력' 등 추상적 의미를 지닌 다른 용법들을 포함하므로 핵심 의미가 갈린다.	1413330
2	2	2	Y	0	都合	つごう	circumstances, condition, convenience, arranging	도합(0)	都合	모두 합한 셈.	일본어의 '都合'은 상황이나 편의를 뜻하는 반면, 한국 표준국어대사전의 '도합'은 수량을 모두 합산한다는 전혀 다른 의미를 지닙니다.	1444980
2	2	2	Y	0	東京	とうきょう	Tokyo	동경(3)	東京	발해 때에 둔 오경(五京)의 하나.	동일한 한자이지만 일본어는 도도부도현의 이름인 지명으로서의 뜻이고 한국어는 발해 오경 중 하나라는 역사적 지명으로서의 뜻으로 핵심 의미가 완전히 갈라져 있다.	1447690
2	2	2	Y	0	東洋	とうよう	the East, the Orient, (East) Asia, Japan	동양(2)	東洋	유라시아 대륙의 동부 지역. 아시아의 동부 및 남부를 이르는데 한국, 중국, 일본, 인도, 미얀마, 타이, 인도네시아 등이 있다.	일본어의 '東洋'은 일본 자체를 지칭하는 고유명사적 용어인 반면, 한국 표준국어대사전의 '동양 (2)'은 중국·한국·일본 등 동아시아 전체 지역을 포괄하는 지리학적 명칭으로 핵심 의미가 갈린다.	1448230
2	2	2	Y	0	同意	どうい	agreement, consent, approval, assent	동의(2)	同意	같은 뜻. 또는 뜻이 같음.	일본어의 '同意'는 법적·공식적 '동의/승인'을 뜻하는 반면, 한국 표준국어대사전의 '동의 (2)'는 철학적으로 '같은 뜻'이나 '뜻이 일치함'을 지칭하여 핵심 의미가 갈린다.	1451850
2	2	2	Y	0	東海	とうかい	Tōkai region (of Honshu; incl. Aichi, Shizuoka, Mie and southern Gifu prefectures), eastern sea, Tōkaidō (Edo-period Edo-Kyoto highway), Japan	동해(1)	東海	동쪽에 있는 바다.	동해는 지명 (일본의 지역명) 과 자연물 (바다) 의 두 가지 전혀 다른 의미로 쓰이므로 동형이의입니다.	1447590
1	2	2	Y	0	同県	どうけん	the same prefecture, the said prefecture	동현(0)	同縣	같은 현.	일본어의 '동현'은 행정구역인 현을 지칭하는 반면, 한국 표준국어대사전의 '동현'은 같은 현이라는 뜻으로 쓰이지만 현대 한국어에서는 주로 '동향'이나 다른 표현이 사용되며 두 언어에서 해당 한자의 주된 의미와 용례가 완전히 일치하지 않는다.	1452260
1	2	2	Y	0	同様	どうよう	same, similar, (just) like, equal	동양(1)	同樣	모양이 같음. 또는 같은 모양.	일본어의 '同様'은 '동일하다/유사하다'라는 추상적 비교 개념을 뜻하는 반면, 한국 표준국어대사전의 '동양 (同樣)'은 구체적으로 '모양이 같다'는 시각적 유사성을 강조하여 핵심 의미가 갈린다.	1453550
1	2	2	Y	0	都会	とかい	city, Tokyo Metropolitan Assembly	도회(1)	都會	사람이 많이 살고 상공업이 발달한 번잡한 지역.	일본어의 '都会'는 특정 도시 (도쿄 등) 를 지칭하는 고유명사적 용법인 반면, 한국어의 '도회'는 일반적인 번잡한 지역을 뜻하는 일반 명사이므로 핵심 의미가 갈린다.	1444970
1	2	2	Y	0	馬場	ばば	riding ground, racecourse, racetrack	마장(2)	馬場	말을 매어 두거나 놓아 기르는 곳.	일본어의 '馬場'은 경마장이나 승마를 위한 운동장을 뜻하는 반면, 한국 표준국어대사전의 '마장 (2)'은 말을 매거나 기르는 목초지나 마구간을 뜻하여 핵심 의미가 다릅니다.	1674290
1	2	2	Y	0	買収	ばいしゅう	acquisition (esp. corporate), buy-out, takeover, purchase	매수(2)	買收	물건을 사들임.	일본어의 '買収'은 기업 인수·합병 등 주체적 소유권 이전을 뜻하는 반면, 한국 표준국어대사전의 '매수 (買收)'는 단순한 물건을 사들이는 일반적 구매 행위를 지칭하여 핵심 의미가 갈린다.	1473780
2	2	2	Y	0	免疫	めんえき	immunity, immunization, immunisation, being hardened (to)	면역(2)	免疫	반복되는 자극 따위에 반응하지 않고 무감각해지는 상태를 비유적으로 이르는 말.	일본어의 '면역'은 생물학적 면역 체계를 뜻하는 반면, 한국 표준국어대사전의 '면역 (2)'은 반복 자극에 무감각해지는 비유적 상태를 뜻하여 핵심 의미가 다릅니다.	1533090
2	2	2	Y	0	勉強	べんきょう	study, diligence, working hard, experience	면강(2)	勉強	억지로 하거나 시킴.	일본어의 '勉強'은 학습을 뜻하는 반면 한국 표준국어대사전의 '면강'은 억지로 하거나 시킴이라는 뜻으로 핵심 의미가 갈라져 동형이의에 해당합니다.	1512670
2	2	2	Y	0	名義	めいぎ	name (esp. on a deed, contract, work, etc.), formal name, published name, moral duty	명의(1)	名義	명분과 의리를 아울러 이르는 말.	일본어의 '명義'는 법적·공식적 이름 (name on a deed) 을 뜻하는 반면, 한국어의 '명의'는 명분과 의리를 아울러 이르는 도덕적 개념으로 핵심 의미가 다릅니다.	1531410
2	2	2	Y	0	明治	めいじ	Meiji era (1868.9.8-1912.7.30)	명치(2)	明治	정치를 밝게 잘함. 또는 그 정치.	일본어의 '明治'는 특정 역사 시대 (메이지 유신 이후 시기) 를 지칭하는 고유명사이지만, 한국 표준국어대사전의 '명치'는 '밝은 정치'라는 일반적 정의와 이를 뜻하는 명사 개념을 가리키며, 두 용어의 핵심 의미와 사용 범위가 완전히 다릅니다.	1611970
2	2	2	Y	0	模様	もよう	pattern, figure, design, state	모양(2)	模樣	겉으로 나타나는 생김새나 모습.	일본어의 '모양'은 추상적인 패턴이나 상태를 지칭하는 반면, 한국 표준국어대사전의 '모양 (模樣)'은 구체적인 생김새나 외형을 가리키는 것으로 핵심 의미가 갈린다.	1533720
